"X","Lon.mean","Lon.sd","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.mean","Lat.sd","Lat.50.","Lat.2.5.","Lat.97.5.","time","rise","mig","site","id","state","dist.breed","winter","Lon.mean.t","dist","next.Lon","next.Lat","best.nmigg","flightangle.nmigg","fa.nmigg","forward.move.nmigg","side.move.nmigg","tailwind.nmigg","sidewind.nmigg","groundspeed.nmigg","r.dist.nmigg","best.nmigg.m3","flightangle.nmigg.m3","fa.nmigg.m3","forward.move.nmigg.m3","side.move.nmigg.m3","tailwind.nmigg.m3","sidewind.nmigg.m3","groundspeed.nmigg.m3","r.dist.nmigg.m3","best.nmigg.m2","flightangle.nmigg.m2","fa.nmigg.m2","forward.move.nmigg.m2","side.move.nmigg.m2","tailwind.nmigg.m2","sidewindv.nmigg.m2","groundspeed.nmigg.m2","r.dist.nmigg.m2","sidewind.nmigg.m2","best.nmigg.m1","flightangle.nmigg.m1","fa.nmigg.m1","forward.move.nmigg.m1","side.move.nmigg.m1","tailwind.nmigg.m1","sidewindv.nmigg.m1","groundspeed.nmigg.m1","r.dist.nmigg.m1","sidewind.nmigg.m1","best.nmigg.p1","flightangle.nmigg.p1","fa.nmigg.p1","forward.move.nmigg.p1","side.move.nmigg.p1","tailwind.nmigg.p1","sidewindv.nmigg.p1","groundspeed.nmigg.p1","r.dist.nmigg.p1","sidewind.nmigg.p1","best.nmigg.p2","flightangle.nmigg.p2","fa.nmigg.p2","forward.move.nmigg.p2","side.move.nmigg.p2","tailwind.nmigg.p2","sidewindv.nmigg.p2","groundspeed.nmigg.p2","r.dist.nmigg.p2","sidewind.nmigg.p2","best.nmigg.p3","flightangle.nmigg.p3","fa.nmigg.p3","forward.move.nmigg.p3","side.move.nmigg.p3","tailwind.nmigg.p3","sidewindv.nmigg.p3","groundspeed.nmigg.p3","r.dist.nmigg.p3","sidewind.nmigg.p3","air.temp","air.press","rain","snow.depth","ice.con"
1,-145.5,0,-145.5,-145.5,-145.5,65.5,0,65.5,65.5,65.5,2009-08-03 09:18:15,FALSE,"stay",NA,1,"stopping",5.13251702206144,FALSE,-145.5,94,-143.482015588703,65.5892099668183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,-145.496815728923,0.0268920635231864,-145.496758697771,-145.54863397806,-145.444011204501,65.5157213149843,0.00609666904282044,65.514925610587,65.506307466679,65.5297989885306,2009-08-03 10:08:02,TRUE,"stay",NA,2,"stopping",5.3269625828347,FALSE,-145.496815728923,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,-143.482015588703,1.56478806387707,-143.545042167715,-146.793769071289,-140.756456277872,65.5892099668183,0.0853826329134123,65.581583615281,65.4539229042713,65.770779908024,2009-08-04 08:57:52,FALSE,"mig",0,3,"migrating",88.7081158198646,FALSE,-143.482015588703,356,-150.290611042467,64.2373694221425,1000,248.017317378705,0.89796650880589,13.8979665088059,0,1.26314229791418,3.059610622263,13.8979665088059,354.307883926679,700,248.017317378705,-3.45312114764801,9.54687885235199,0,-3.14238329982697,2.8253541429843,9.54687885235199,354.307883926679,1000,248.017317378705,-3.00250211619756,9.99749788380244,0,-3.00060028383328,NA,9.99749788380244,354.307883926679,-0.222360123459606,1000,248.017317378705,0.0841516328607703,13.0841516328608,0,0.120854476204154,NA,13.0841516328608,354.307883926679,0.976179711025859,1000,248.017317378705,-1.69548442360483,11.3045155763952,0,-1.51136002433733,NA,11.3045155763952,354.307883926679,2.1802138855051,925,248.017317378705,1.573512938234,14.573512938234,0,1.601493505585,NA,14.573512938234,354.307883926679,0.852473952081103,700,248.017317378705,1.90857308441772,14.9085730844177,0,1.91275280259803,NA,14.9085730844177,354.307883926679,0.329628886240217,15,937.732244088569,0.003595836456,0,0
4,-143.481132589535,1.56496805771664,-143.542504728486,-146.787817478497,-140.760537012932,65.5877187077949,0.0864304769261325,65.5803861655627,65.4504519177927,65.7720112875675,2009-08-04 10:28:16,TRUE,"mig",0,4,"migrating",88.7324306549518,FALSE,-143.481132589535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-150.290611042467,3.62513589923966,-150.812150280323,-157.44609234937,-144.235473156626,64.2373694221425,0.568235816984963,64.2529405808599,63.3584386515086,65.3495674256,2009-08-05 08:19:04,FALSE,"mig",0,5,"migrating",271.505119619171,FALSE,-150.290611042467,259,-146.35824769749,62.7207277412948,1000,129.04698735198,0.477619111845467,13.4776191118455,0,0.669145753747177,-2.22328815831109,13.4776191118455,257.989049783405,850,129.04698735198,-0.735236792156307,12.2647632078437,0,0.106188278975327,-4.60098420982877,12.2647632078437,257.989049783405,1000,129.04698735198,0.147196301860465,13.1471963018605,0,0.243758905977325,NA,13.1471963018605,257.989049783405,-1.58155093832748,1000,129.04698735198,-1.24637127018998,11.75362872981,0,-1.24184077479522,NA,11.75362872981,257.989049783405,-0.343179770492295,925,129.04698735198,0.704439090637283,13.7044390906373,0,0.887706254907751,NA,13.7044390906373,257.989049783405,-2.17516882506449,925,129.04698735198,3.73972510759725,16.7397251075972,0,3.86149732003672,NA,16.7397251075972,257.989049783405,-1.77517578050846,925,129.04698735198,3.33823622230049,16.3382362223005,0,3.34533129629405,NA,16.3382362223005,257.989049783405,0.429443341731469,17.4,943.724214552263,0.003595836456,0,0
6,-150.290298807974,3.62277411004979,-150.813121888259,-157.425737939832,-144.228773905789,64.237511919931,0.56846353939834,64.2532892609512,63.3557139824049,65.3493466870274,2009-08-05 12:03:29,TRUE,"mig",0,6,"migrating",271.483729350211,FALSE,-150.290298807974,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,-146.35824769749,3.33385526521635,-145.688658325423,-156.172053511171,-141.461716322202,62.7207277412948,0.862598734618501,62.5262250590716,61.6754323295686,64.9176713979717,2009-08-06 07:27:25,FALSE,"mig",0,7,"migrating",313.268502804645,FALSE,-146.35824769749,102,-148.340235084269,62.6355608111716,700,265.532552672567,5.12977551184372,18.1297755118437,0,5.5767603068859,3.37961673331426,18.1297755118437,101.621990860072,850,265.532552672567,-2.5184467247794,10.4815532752206,0,-2.49206886429571,0.82772494287184,10.4815532752206,101.621990860072,850,265.532552672567,0.778731407328154,13.7787314073282,0,1.33958115624379,NA,13.7787314073282,101.621990860072,3.77723986939509,1000,265.532552672567,-0.921172964776535,12.0788270352235,0,-0.836891070576517,NA,12.0788270352235,101.621990860072,1.47791265354571,700,265.532552672567,-0.062974623255398,12.9370253767446,0,-0.0390752820581533,NA,12.9370253767446,101.621990860072,-0.787916044143469,700,265.532552672567,2.93054229245834,15.9305422924583,0,3.14215589531485,NA,15.9305422924583,101.621990860072,-2.33605936511798,700,265.532552672567,1.03467753976402,14.034677539764,0,1.3883777740703,NA,14.034677539764,101.621990860072,-3.01182705947982,11.1,899.657569372029,0.003595836456,0,0
8,-146.354630497018,3.33817653403362,-145.674905513254,-156.172610134369,-141.441050728633,62.7191941202279,0.864696710274833,62.5244294037647,61.668341477256,64.911324912761,2009-08-06 12:11:17,TRUE,"mig",0,8,"migrating",313.411226001959,FALSE,-146.354630497018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,-148.340235084269,2.57725707017732,-148.340088314837,-153.166437865392,-143.415632362461,62.6355608111716,0.784795328697267,62.6448165812543,61.1494083561949,64.1441950424689,2009-08-07 07:38:46,FALSE,"mig",0,9,"migrating",350.100880258375,FALSE,-148.340235084269,12,-148.47025029771,62.7270843746628,700,326.955275052973,-0.920968363928649,12.0790316360714,0,-0.906385410637497,-0.61558437524298,12.0790316360714,12.1521807358006,850,326.955275052973,5.00112666529281,18.0011266652928,0,5.02076739938614,0.714334185091894,18.0011266652928,12.1521807358006,700,326.955275052973,7.30943451831201,20.309434518312,0,7.93068286180662,NA,20.309434518312,12.1521807358006,3.97070616220403,700,326.955275052973,5.00652459194683,18.0065245919468,0,5.50078872373769,NA,18.0065245919468,12.1521807358006,-3.55057324872863,700,326.955275052973,-1.44138517906092,11.5586148209391,0,-0.547277938064681,NA,11.5586148209391,12.1521807358006,-4.73786455140924,1000,326.955275052973,-2.32205113939283,10.6779488606072,0,-2.24950457734728,NA,10.6779488606072,12.1521807358006,1.37147643418319,1000,326.955275052973,-0.314830776259912,12.6851692237401,0,-0.196567922097535,NA,12.6851692237401,12.1521807358006,-1.74952796649473,9.1,911.302445232338,3.05075790275044,0,0
10,-148.47025029771,2.47733473353363,-148.473721179826,-153.064442427031,-143.80174920396,62.7270843746628,0.751029313422245,62.7536302037815,61.2923642543439,64.1511355823755,2009-08-08 07:39:50,FALSE,"mig",0,10,"migrating",343.446178077245,FALSE,-148.47025029771,54,-148.079958190067,62.2802536365834,925,157.86389033884,2.62465115524021,15.6246511552402,0,2.79823630381334,-2.11732899170068,15.6246511552402,53.5881993758125,1000,157.86389033884,-1.0997193169706,11.9002806830294,0,-1.04479144183076,-1.19377874087636,11.9002806830294,53.5881993758125,850,157.86389033884,-0.847363500591674,12.1526364994083,0,-0.835698913372332,NA,12.1526364994083,53.5881993758125,-0.550584421417706,850,157.86389033884,2.67615950160502,15.676159501605,0,3.2915356437532,NA,15.676159501605,53.5881993758125,-3.95235270434303,850,157.86389033884,3.20485125990358,16.2048512599036,0,3.2098671291734,NA,16.2048512599036,53.5881993758125,0.361092013302279,700,157.86389033884,6.67219941545146,19.6721994154515,0,6.6970825897354,NA,19.6721994154515,53.5881993758125,-0.803954823991964,700,157.86389033884,4.91607298262835,17.9160729826284,0,5.00689539329181,NA,17.9160729826284,53.5881993758125,-1.53399281842224,11.4,913.060468074458,1.58611576677999,0,0
11,-148.04714798018,2.08881146844752,-147.859954582227,-152.585538316624,-144.513483473347,62.3350786103927,0.672465982850643,62.2784750793974,61.2248759116661,63.8049042548063,2009-08-08 12:24:38,TRUE,"stay",1,11,"stopping",375.949096521857,FALSE,-148.04714798018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,-148.079958190067,2.12403161299797,-147.923541978426,-152.69524691784,-144.474629080884,62.2802536365834,0.703237376144001,62.2151845348034,61.1159494953776,63.8226956402592,2009-08-09 07:05:38,FALSE,"stay",1,12,"stopping",382.280098895787,FALSE,-148.079958190067,208,-147.75900491906,63.5371806230584,700,272.714203436552,0.826958081478383,13.8269580814784,0,1.43098724121332,-3.91661932376614,13.8269580814784,206.80637568835,700,272.714203436552,5.62508241878309,18.6250824187831,0,5.84017162553718,2.35500658358833,18.6250824187831,206.80637568835,700,272.714203436552,-0.217437686554762,12.7825623134452,0,-0.180621319556686,NA,12.7825623134452,206.80637568835,-0.977686093319853,700,272.714203436552,3.24866307625744,16.2486630762574,0,3.56959422828814,NA,16.2486630762574,206.80637568835,-2.87075132124928,925,272.714203436552,1.33012546362506,14.3301254636251,0,1.47390347974221,NA,14.3301254636251,206.80637568835,-1.92809654870476,925,272.714203436552,1.69090947144179,14.6909094714418,0,1.72884777516477,NA,14.6909094714418,206.80637568835,-0.992449788104144,1000,272.714203436552,2.06627731166148,15.0662773116615,0,2.10522699468453,NA,15.0662773116615,206.80637568835,1.00557181781892,11.4,912.743149089886,0.898889363151011,0,0
13,-152.01296611543,1.9918542136984,-152.243292803788,-155.547162529216,-147.546329516742,62.2827968227318,0.657241799037984,62.180218550537,61.2929450115667,63.800268503111,2009-08-09 12:56:53,TRUE,"stay",1,13,"stopping",483.660399025765,FALSE,-152.01296611543,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
