"ID" "season" "t.sp.m" "sp" "w.sp" "stop.per.dist" "travel.sp" "travel.sp.ad"
"1" 1 "aut" 151.5 45 15453 2.9120559114735 283.1957 206.4031
"2" 2 "aut" 163.109756097561 33 13375 2.46728971962617 288.0488 145.0393
"3" 3 "aut" 173.420454545455 38 15261 2.4900072079156 331.7436 151.4268
"4" 4 "aut" 181.134831460674 38 16121 2.35717387258855 420.5152 278.481
"5" 5 "aut" 135.648351648352 45 12344 3.64549578742709 284.027 175.519
"6" 6 "aut" 139.365591397849 53 12961 4.08919064886969 351.125 268.9143
"7" 7 "aut" 186.765957446808 43 17556 2.44930508088403 372.3953 228.6208
"8" 8 "aut" 146.576923076923 60 15244 3.93597480976122 352.4324 150.3162
"9" 1 "spr" 261.714285714286 7 5496 1.27365356622999 384.9091 135.09956
"10" 2 "spr" 178.527777777778 18 6427 2.80068461179399 382.3846 127.59345
"11" 3 "spr" 165.702702702703 25 6131 4.07763823193606 483.7778 235.96386
"12" 4 "spr" 324.433333333333 9 9733 0.924689201684989 359.68 235.5279
"13" 5 "spr" 271.055555555556 7 9758 0.717360114777618 339.2593 98.39934
"14" 6 "spr" 182.347826086957 18 8388 2.14592274678112 302.2963 147.51892
"15" 7 "spr" 159.911111111111 20 7196 2.77932184546971 281.8636 137.16493
"16" 8 "spr" 198 26 10296 2.52525252525253 405.2727 164.13821
